Time (Seconds),X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8
3.07,0.485685,1.065901,0.393446,,,,,,,,,,,,,,,,,,,,,
3.08,0.485635,1.06584,0.393346,,,,,,,,,,,,,,,,,,,,,
3.09,0.485604,1.065831,0.393331,,,,,,,,,,,,,,,,,,,,,
3.1,0.485567,1.065812,0.39331,,,,,,,,,,,,,,,,,,,,,
3.11,0.485548,1.0658,0.393306,,,,,,,,,,,,,,,,,,,,,
3.12,0.485511,1.065776,0.393291,,,,,,,,,,,,,,,,,,,,,
3.13,0.485475,1.065748,0.39326,,,,,,,,,,,,,,,,,,,,,
3.14,0.48545,1.065723,0.393247,,,,,,,,,,,,,,,,,,,,,
3.15,0.485433,1.065696,0.393215,,,,,,,,,,,,,,,,,,,,,
3.16,0.48542,1.065685,0.393196,,,,,,,,,,,,,,,,,,,,,
3.17,0.485408,1.065664,0.393157,,,,,,,,,,,,,,,,,,,,,
3.18,0.485401,1.065642,0.393118,,,,,,,,,,,,,,,,,,,,,
3.19,0.48539,1.065626,0.393078,,,,,,,,,,,,,,,,,,,,,
3.2,0.485403,1.065606,0.393025,,,,,,,,,,,,,,,,,,,,,
3.21,0.485404,1.065582,0.392986,,,,,,,,,,,,,,,,,,,,,
3.22,0.485416,1.065573,0.392932,,,,,,,,,,,,,,,,,,,,,
3.23,0.485426,1.065547,0.392883,,,,,,,,,,,,,,,,,,,,,
3.24,0.48542,1.065522,0.392838,,,,,,,,,,,,,,,,,,,,,
3.25,0.485416,1.065495,0.392793,,,,,,,,,,,,,,,,,,,,,
3.26,0.485437,1.065438,0.392718,,,,,,,,,,,,,,,,,,,,,
3.27,0.485437,1.065446,0.392699,,,,,,,,,,,,,,,,,,,,,
3.28,0.485471,1.06538,0.392627,,,,,,,,,,,,,,,,,,,,,
3.29,0.485517,1.065359,0.392582,,,,,,,,,,,,,,,,,,,,,
3.3,0.485547,1.065328,0.392527,,,,,,,,,,,,,,,,,,,,,
3.31,0.485574,1.065304,0.392475,,,,,,,,,,,,,,,,,,,,,
3.32,0.485607,1.065279,0.392422,,,,,,,,,,,,,,,,,,,,,
3.33,0.485638,1.065262,0.39236,,,,,,,,,,,,,,,,,,,,,
3.34,0.485684,1.065249,0.392304,,,,,,,,,,,,,,,,,,,,,
3.35,0.485716,1.065233,0.392242,,,,,,,,,,,,,,,,,,,,,
3.36,0.485757,1.065222,0.392177,,,,,,,,,,,,,,,,,,,,,
3.37,0.48579,1.065207,0.39211,,,,,,,,,,,,,,,,,,,,,
3.38,0.485815,1.06519,0.392047,,,,,,,,,,,,,,,,,,,,,
3.39,0.485845,1.065168,0.392003,,,,,,,,,,,,,,,,,,,,,
3.4,0.485903,1.065129,0.39196,,,,,,,,,,,,,,,,,,,,,
3.41,0.485939,1.065103,0.391925,,,,,,,,,,,,,,,,,,,,,
3.42,0.485966,1.065065,0.391893,,,,,,,,,,,,,,,,,,,,,
3.43,0.486005,1.065048,0.391874,,,,,,,,,,,,,,,,,,,,,
